,u,v,w,x,y,z,p,q,r,phi/grad,theta/grad,psi/grad,forceX,forceY,forceZ,momentsX,momentsY,momentsZ,alpha,beta,deltaElevator,deltaAileron,deltaRudder,deltaThrust,tVerlauf
2524,91.53936600046936,30.549835401374104,31.457328331661053,-690.2927562395818,-692.1249612712176,2750.412147711435,0.4380205546579955,0.9091915404667541,0.11557416343911374,87.20873158300444,-27.921714792013823,-47.06312494252825,57867.02340938108,-7418.236400953036,-159658.95555751733,539.4771258767752,-307.88239038086766,368.0764862020415,18.96518570616053,17.516636036652734,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2524.0
2525,91.54374625769245,30.548984638884548,31.458756207317776,-689.8335252899975,-693.497336366629,2751.8357410954713,0.43803722884869706,0.909209572867743,0.11544626652197772,87.15576290596927,-28.003260020801964,-45.878104521081696,57898.618327651326,-7434.765011446954,-159660.2473541808,539.0791496384588,-307.91243169576956,368.19250188539803,18.965142384180304,17.515395454752458,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2525.0
2526,91.54828524766047,30.54823644825062,31.460282722549852,-689.3471393341113,-694.8579472596327,2753.2617239891783,0.4380543506196449,0.9092266294030837,0.11531849680645605,87.10085617274672,-28.083689817937472,-44.69208840255396,57930.08458779439,-7451.325782984517,-159661.61426069532,538.6793263782529,-307.944500731198,368.34131454035077,18.965123746639847,17.514179241226355,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2526.0
2527,91.55298098376325,30.54759111854512,31.461907152207374,-688.8338388102487,-696.2062466493337,2754.690088227138,0.43807191246684585,0.9092427060548087,0.11519091106010498,87.04403465629201,-28.162968868493852,-43.50508454575083,57961.409077754404,-7467.9115654754205,-159663.05631874694,538.2778499326375,-307.9785743329703,368.52282921510005,18.965129766216997,17.512987915031857,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2527.0
2528,91.55783141504585,30.547048892216743,31.463628729156007,-688.2938750990202,-697.5416921111973,2756.120824649289,0.438089906734423,0.9092577992635913,0.11506356591544924,86.98532263882181,-28.24106234368042,-42.317101612718034,57992.57876445312,-7484.515209578996,-159664.57354180195,537.8749149101299,-308.01462872272674,368.73693515242087,18.965160404196915,17.51182198219351,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2528.0
2529,91.56283442719324,30.546609964973918,31.465446644665878,-687.7275104266137,-698.8637463161037,2757.5539231057955,0.4381083256188668,0.90927190592939,0.11493651784250655,86.92474540706824,-28.317935919472703,-41.128148971537485,58023.58069920997,-7501.129569870052,-159666.16591505846,537.4707165736147,-308.052639522098,368.9835058412457,18.965215610509592,17.510681935553755,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2529.0
2530,91.56798784353919,30.546274485692397,31.467360048818986,-687.1350177637969,-700.1718772475778,2758.989372462313,0.43812716117328976,0.9092850234118381,0.11480982312138782,86.86232924669167,-28.393555795149577,-39.93823669827998,58054.40202311805,-7517.747507995078,-159667.8333954019,537.0654507218126,-308.0925817767177,369.2623990783908,18.96529532377359,17.509568254532663,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2530.0
2531,91.5732894260995,30.546042556346663,31.46936805093496,-686.5166807206567,-701.4655584171118,2760.427160605649,0.4381464053116817,0.9092971495303794,0.11468353781499041,86.79810143583335,-28.46788871172079,-38.747375578085666,58085.02997237465,-7534.361895817274,-159669.57591136516,536.6593135702889,-308.1344299800382,369.5734570401412,18.965399471345968,17.50848140489663,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2531.0
2532,91.57873687662862,30.545914231965327,31.471469720014927,-685.8727934371091,-702.7442690774994,2761.867274449821,0.4381660498131626,0.909308282564152,0.11455771774180201,86.7320902377901,-28.54090197022819,-37.55557710536186,58115.451883563364,-7550.965618548838,-159671.3933630919,536.2525016321098,-308.1781580965798,369.9165063638413,18.9655279693783,17.507421838536306,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2532.0
2533,91.58432783769933,30.54588952061062,31.473664085203254,-685.2036604692127,-704.0074944340992,2763.309699942499,0.43818608632623046,0.9093184212516205,0.11443241844883259,86.66432489279485,-28.612563449903455,-36.36285348307456,58145.65519888646,-7567.551577869239,-159673.2856223055,535.8452115980508,-308.2237395850334,370.2913582394491,18.965680722878798,17.506389993253876,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2533.0
2534,91.59005989380505,30.545968383382025,31.47595013626696,-684.5095966713202,-705.2547258539452,2764.7544220718437,0.43820650637300057,0.9093275647899602,0.11430769518469179,86.59483560888764,-28.682841626164702,-35.1692176211136,58175.62747134512,-7584.112695027761,-159675.25253228072,535.4376402165825,-308.2711474211151,370.69780851095106,18.965857625780416,17.50538629255985,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2534.0
2535,91.59593057248406,30.54615073444418,31.478326824092548,-683.7909270741048,-706.4854610726256,2766.2014248737282,0.4382273013534336,0.9093357128341916,0.11418360287282925,86.52365355186373,-28.751705588434078,-33.974683133723374,58205.35636986591,-7600.641913929281,-159677.29390782217,535.0299841739394,-308.32035411952404,371.1356377876278,18.966058561014957,17.504411145479466,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2535.0
2536,91.60193734546542,30.54643644107904,31.48079306119997,-683.047986758498,-707.6992043988479,2767.650691439342,0.43824846254955035,0.9093428654960709,0.11406019608495498,86.45081083428684,-28.81912505775798,-32.77926433597895,58234.82968437112,-7617.132204201447,-159679.4095352458,534.622439974054,-308.3713317562226,371.604611565123,18.966283400593017,17.503464946368883,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2536.0
2537,91.60807762983562,30.546825323762402,31.483347722273532,-682.2811207255788,-708.8954669166096,2769.1022039231793,0.43826998112963056,0.9093490233427363,0.11393752901465713,86.37634050355672,-28.885070404211334,-31.58297623929957,58264.0353307917,-7633.576564242179,-159681.59917236716,534.2152038186437,-308.4240519897352,372.1044803561725,18.966532005689793,17.502548074741206,-14.825073212020587,-14.999999999999998,0.0,57.29577951308232,2537.0
